fips,lon,lat,pop,name
28009,-89.203932,34.813848,7646,Benton
28011,-90.768825,33.771865,30985,Bolivar
28013,-89.309537,33.930069,13266,Calhoun
28015,-89.919301,33.46177,9998,Carroll
28017,-88.93891,33.93085,17106,Chickasaw
28019,-89.234179,33.339222,8246,Choctaw
28021,-90.950731,31.931505,9135,Claiborne
28023,-88.731696,32.067249,15615,Clarke
28025,-88.693,33.624883,18636,Clay
28027,-90.57036,34.220105,21390,Coahoma
28029,-90.378623,31.893381,28368,Copiah
28031,-89.546964,31.634654,18340,Covington
28033,-89.949653,34.927389,185314,DeSoto
28035,-89.287954,31.309279,78158,Forrest
28037,-90.866734,31.471678,7675,Franklin
28039,-88.590917,30.868417,24350,George
28041,-88.629422,31.195402,13530,Greene
28043,-89.803438,33.76756,21629,Grenada
28045,-89.404092,30.379142,46053,Hancock
28047,-89.063779,30.434161,208621,Harrison
28049,-90.257,32.304046,227742,Hinds
28051,-90.028731,33.089593,17000,Holmes
28053,-90.518897,33.164116,7785,Humphreys
28055,-91.018573,32.889296,1338,Issaquena
28057,-88.404342,34.289689,23863,Itawamba
28059,-88.66863,30.443696,143252,Jackson
28061,-89.144805,31.961091,16367,Jasper
28063,-91.057536,31.714009,7260,Jefferson
28065,-89.816038,31.575445,11321,Jefferson Davis
28067,-89.167194,31.667175,67246,Jones
28069,-88.672958,32.763776,8988,Kemper
28071,-89.52675,34.359415,55813,Lafayette
28073,-89.439932,31.273921,64222,Lamar
28075,-88.692876,32.401267,72984,Lauderdale
28077,-90.110558,31.553787,12016,Lawrence
28079,-89.510973,32.733654,21275,Leake
28081,-88.703819,34.278226,83343,Lee
28083,-90.203416,33.513518,28339,Leflore
28085,-90.457896,31.54927,34907,Lincoln
28087,-88.389424,33.520258,58879,Lowndes
28089,-90.104845,32.509875,109145,Madison
28091,-89.830527,31.245825,24441,Marion
28093,-89.544076,34.816554,33752,Marshall
28095,-88.499061,33.926461,34180,Monroe
28097,-89.682458,33.496327,9822,Montgomery
28099,-89.120008,32.755039,29087,Neshoba
28101,-89.129364,32.415269,21291,Newton
28103,-88.549668,33.13285,10285,Noxubee
28105,-88.825442,33.448413,51788,Oktibbeha
28107,-89.934868,34.345346,33208,Panola
28109,-89.631685,30.640759,56145,Pearl River
28111,-88.992608,31.262146,11511,Perry
28113,-90.435044,31.219047,40324,Pike
28115,-89.015136,34.253564,31184,Pontotoc
28117,-88.552077,34.632609,25008,Prentiss
