fips,county,year,month,fatal_crashes,total_fatalities,alcohol_fatal_crashes,weekend_crashes,night_crashes,crashes_sun,crashes_mon,crashes_tue,crashes_wed,crashes_thu,crashes_fri,crashes_sat,alcohol_flag_source,countywide_wet,cohort,treated_unit,neighbor_unit,clean_control,n_wet_neighbors,share_wet_neighbors,n_neighbors,total_pop,median_hh_income,median_age,poverty_rate,pct_white,pct_black,pct_under_18,pct_21plus,pop_21plus,fatal_crashes_pc,alcohol_crashes_pc,church_establishments,church_employees
5001,Arkansas,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,5,0.7142857142857143,7,19385.0,36341.0,42.0,0.1837,0.7294,0.2434,0.237,0.763,14790.0,0.0,0.0,23,165
5001,Arkansas,2008,2,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,5,0.7142857142857143,7,19385.0,36341.0,42.0,0.1837,0.7294,0.2434,0.237,0.763,14790.0,0.0,0.0,23,165
5001,Arkansas,2008,3,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,5,0.7142857142857143,7,19385.0,36341.0,42.0,0.1837,0.7294,0.2434,0.237,0.763,14790.0,0.0,0.0,23,165
5001,Arkansas,2008,4,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,5,0.7142857142857143,7,19385.0,36341.0,42.0,0.1837,0.7294,0.2434,0.237,0.763,14790.0,0.0,0.0,23,165
5001,Arkansas,2008,5,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,5,0.7142857142857143,7,19385.0,36341.0,42.0,0.1837,0.7294,0.2434,0.237,0.763,14790.0,0.0,0.0,23,165
5001,Arkansas,2008,6,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,5,0.7142857142857143,7,19385.0,36341.0,42.0,0.1837,0.7294,0.2434,0.237,0.763,14790.0,0.0,0.0,23,165
5001,Arkansas,2008,7,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,5,0.7142857142857143,7,19385.0,36341.0,42.0,0.1837,0.7294,0.2434,0.237,0.763,14790.0,0.0,0.0,23,165
5001,Arkansas,2008,8,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,5,0.7142857142857143,7,19385.0,36341.0,42.0,0.1837,0.7294,0.2434,0.237,0.763,14790.0,0.0,0.0,23,165
5001,Arkansas,2008,9,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,5,0.7142857142857143,7,19385.0,36341.0,42.0,0.1837,0.7294,0.2434,0.237,0.763,14790.0,0.0,0.0,23,165
5001,Arkansas,2008,10,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,5,0.7142857142857143,7,19385.0,36341.0,42.0,0.1837,0.7294,0.2434,0.237,0.763,14790.0,0.0,0.0,23,165
5001,Arkansas,2008,11,2,4,0,0,0,0,1,0,0,1,0,0,DRUNK_DR,1,0,0,1,0,5,0.7142857142857143,7,19385.0,36341.0,42.0,0.1837,0.7294,0.2434,0.237,0.763,14790.0,123.8071,0.0,23,165
5001,Arkansas,2008,12,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,5,0.7142857142857143,7,19385.0,36341.0,42.0,0.1837,0.7294,0.2434,0.237,0.763,14790.0,0.0,0.0,23,165
5001,Arkansas,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,5,0.7142857142857143,7,19385.0,36341.0,42.0,0.1837,0.7294,0.2434,0.237,0.763,14790.0,0.0,0.0,23,165
5001,Arkansas,2009,2,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,5,0.7142857142857143,7,19385.0,36341.0,42.0,0.1837,0.7294,0.2434,0.237,0.763,14790.0,0.0,0.0,23,165
5001,Arkansas,2009,3,1,1,0,0,0,0,0,0,0,1,0,0,DRUNK_DR,1,0,0,1,0,5,0.7142857142857143,7,19385.0,36341.0,42.0,0.1837,0.7294,0.2434,0.237,0.763,14790.0,61.9035,0.0,23,165
5001,Arkansas,2009,4,1,1,0,0,0,0,1,0,0,0,0,0,DRUNK_DR,1,0,0,1,0,5,0.7142857142857143,7,19385.0,36341.0,42.0,0.1837,0.7294,0.2434,0.237,0.763,14790.0,61.9035,0.0,23,165
5001,Arkansas,2009,5,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,5,0.7142857142857143,7,19385.0,36341.0,42.0,0.1837,0.7294,0.2434,0.237,0.763,14790.0,0.0,0.0,23,165
