fips,county_name,acs_vintage,total_pop,median_hh_income,median_age,poverty_universe,poverty_below,poverty_rate,race_total,race_white,race_black,pct_white,pct_black,pop_under_18,pct_under_18,pop_21plus,pct_21plus
5067,"Jackson County, Arkansas",2009,17038.0,28680.0,38.6,14857.0,4333.0,0.2916,17038.0,13392.0,3300.0,0.786,0.1937,3680.0,0.216,13358.0,0.784
5069,"Jefferson County, Arkansas",2009,79698.0,35265.0,36.3,75335.0,16739.0,0.2222,79698.0,35545.0,41336.0,0.446,0.5187,19793.0,0.2484,59905.0,0.7516
5071,"Johnson County, Arkansas",2009,24576.0,30953.0,36.6,23856.0,4791.0,0.2008,24576.0,23215.0,390.0,0.9446,0.0159,6288.0,0.2559,18288.0,0.7441
5073,"Lafayette County, Arkansas",2009,7715.0,26491.0,43.1,7674.0,1625.0,0.2118,7715.0,4742.0,2908.0,0.6146,0.3769,1713.0,0.222,6002.0,0.778
5075,"Lawrence County, Arkansas",2009,16912.0,29119.0,40.3,15932.0,3785.0,0.2376,16912.0,16343.0,44.0,0.9664,0.0026,3852.0,0.2278,13060.0,0.7722
5077,"Lee County, Arkansas",2009,10776.0,26283.0,37.5,9265.0,2805.0,0.3028,10776.0,4417.0,6140.0,0.4099,0.5698,2368.0,0.2197,8408.0,0.7803
5079,"Lincoln County, Arkansas",2009,13753.0,34876.0,36.4,11353.0,2765.0,0.2435,13753.0,8930.0,4437.0,0.6493,0.3226,2608.0,0.1896,11145.0,0.8104
5081,"Little River County, Arkansas",2009,12921.0,32884.0,41.4,12558.0,2258.0,0.1798,12921.0,9485.0,2811.0,0.7341,0.2176,2909.0,0.2251,10012.0,0.7749
5083,"Logan County, Arkansas",2009,22550.0,35716.0,40.6,22422.0,3868.0,0.1725,22550.0,21368.0,235.0,0.9476,0.0104,5596.0,0.2482,16954.0,0.7518
5085,"Lonoke County, Arkansas",2009,63424.0,50295.0,35.3,62663.0,7690.0,0.1227,63424.0,56829.0,4331.0,0.896,0.0683,17433.0,0.2749,45991.0,0.7251
5087,"Madison County, Arkansas",2009,15478.0,36667.0,40.6,15180.0,2677.0,0.1764,15478.0,14570.0,44.0,0.9413,0.0028,3799.0,0.2454,11679.0,0.7546
5089,"Marion County, Arkansas",2009,16581.0,31772.0,48.3,16443.0,2994.0,0.1821,16581.0,16060.0,0.0,0.9686,0.0,3204.0,0.1932,13377.0,0.8068
5091,"Miller County, Arkansas",2009,42971.0,39090.0,37.5,41697.0,7546.0,0.181,42971.0,31339.0,10162.0,0.7293,0.2365,10486.0,0.244,32485.0,0.756
5093,"Mississippi County, Arkansas",2009,46778.0,32940.0,34.6,46088.0,11609.0,0.2519,46778.0,29573.0,15785.0,0.6322,0.3374,13259.0,0.2834,33519.0,0.7166
5095,"Monroe County, Arkansas",2009,8606.0,29607.0,43.2,8383.0,1915.0,0.2284,8606.0,5041.0,3364.0,0.5858,0.3909,2068.0,0.2403,6538.0,0.7597
5097,"Montgomery County, Arkansas",2009,9064.0,36095.0,45.3,9011.0,1540.0,0.1709,9064.0,8431.0,0.0,0.9302,0.0,2061.0,0.2274,7003.0,0.7726
5099,"Nevada County, Arkansas",2009,9324.0,32969.0,40.0,9180.0,1961.0,0.2136,9324.0,5976.0,2573.0,0.6409,0.276,2238.0,0.24,7086.0,0.76
5101,"Newton County, Arkansas",2009,8311.0,28166.0,44.0,8278.0,1866.0,0.2254,8311.0,7994.0,31.0,0.9619,0.0037,1749.0,0.2104,6562.0,0.7896
