coef_name,coef,se
Pre_avg,.11273594,.08286263
Post_avg,-.11134098,.30661747
Tm5,1.0090243,.46117705
Tm4,-1.5333333,.71049619
Tm3,.87041587,.4622063
Tm2,-.32299075,.45671093
Tm1,.54056358,.36395496
Tp0,-.57568681,.36879155
Tp1,.081360303,.38461596
Tp2,.03164719,.48974508
Tp3,.084926449,.38960552
Tp4,-.052628744,.43977785
Tp5,-.2376643,.46212986
