term,coef,se,p
Pre_avg,-.0373567779199077,.1090408143526256,.731903577243632
Post_avg,-.4553284661560048,.7705039305458082,.5545546461644082
Tm13,-1.637931034482759,1.103218335881673,.1376274505250653
Tm12,-.6034482758620691,.4623965066228292,.1918775053907829
Tm11,.2683537263626251,.4429110794427833,.5445903005977739
Tm10,.2867074527252502,.4878921840293408,.5567705304594313
Tm9,.8550106178582262,.366913523856051,.0197914475898291
Tm8,.3990022584015909,.6981269708447898,.5676387310472431
Tm7,.133845488847779,.5480212671051633,.8070495074308337
Tm6,-1.549305956245039,.586312495968607,.008230675117602
Tm5,.4999411995559676,.3535414068611136,.1573339580316354
Tm4,-.1239161556016885,.3969832031709192,.7549306471957699
Tm3,.0331779807459856,.4837819388384645,.9453235846816165
Tm2,.4650374429778759,.6808559275657805,.4945949218647445
Tm1,.4878871417574551,.7494707103332846,.5150622409007023
Tp0,-.0760346190955366,.8092980120180637,.925147824079914
Tp1,-.3953581049962651,.537469022125864,.4619788150674678
Tp2,-.6035917022503426,.5423267509645541,.2657226618800729
Tp3,.1152324616970421,.7517443245342139,.8781721309491205
Tp4,-.8379985564635177,.7994999723411107,.2945679699288088
Tp5,-.8958043306535095,.7612598954371338,.2392996321829448
Tp6,-.7669632925472749,.9040587409190703,.3962399636291761
Tp7,.0634781367294617,.8875221260950037,.9429816171871704
Tp8,1.729247022906645,1.457235307221499,.2353606287646049
Tp9,-.0454039842248964,1.263287202026174,.9713292907824529
Tp10,-1.071635150166852,1.147724437288837,.3504564877364871
Tp11,1.030923248053392,1.034062356730071,.3187818414109066
Tp12,-2.551724137931034,.7692611259492285,.0009095364493518
Tp13,-2.068965517241379,2.151890485658082,.3363188519230726
