coef_name,coef,se
Pre_avg,1.3458138,1.5311556
Post_avg,7.3744249,2.4693158
Tm5,7.7347007,6.1184931
Tm4,8.0037794,3.23001
Tm3,-2.9051733,4.1650419
Tm2,-4.4607353,2.0183072
Tm1,-1.6435027,5.423811
Tp0,1.1866473,2.908144
Tp1,5.0425458,3.5016985
Tp2,8.8470058,1.9507166
Tp3,10.0141,3.7174993
Tp4,11.095486,4.8198161
Tp5,8.0607643,6.5934682
