coef_name,coef,se
Pre_avg,.10402739,.18686722
Post_avg,-.23987766,.65321034
Tm5,2.0327339,.95465386
Tm4,-1.7757576,1.3103215
Tm3,2.4439237,.95987827
Tm2,-3.0181966,.80172777
Tm1,.8374334,.90890104
Tp0,.17649435,.66146857
Tp1,.16896437,.97293264
Tp2,-.52715564,.94494188
Tp3,.39185998,.92258078
Tp4,-.029250162,.89669067
Tp5,-1.6201788,.91924101
