coef_name,coef,se
Pre_avg,.012410258,.2145192
Post_avg,-.51038772,.79921865
Tm5,2.0350981,1.168625
Tm4,-1.8259432,1.330699
Tm3,2.2042067,1.0995101
Tm2,-2.8559639,1.1504776
Tm1,.50465363,1.108663
Tp0,-.36560452,.95016164
Tp1,-.38000998,1.0426764
Tp2,.003182221,.98318881
Tp3,.36250392,1.2185836
Tp4,-.5543378,1.0112108
Tp5,-2.1280601,.95662016
