term,coef,se,p
Pre_avg,-.0269046174856095,.109930351659226,.8066559000545767
Post_avg,-.5055282628789736,.9533378896137782,.5959234491471834
Tm13,-3,.890229699546592,.0007519088881877
Tm12,1.431034482758621,.7419701486615055,.0537686759127555
Tm11,-2.368743047830923,.7202671987841079,.0010065109038745
Tm10,2.264182424916574,.6777715698840917,.0008358925466865
Tm9,1.287915866113864,1.30018769924937,.3218997492736773
Tm8,-.7377490140560218,1.194586619965406,.5368543238936192
Tm7,1.655600201451801,.8997946419385262,.0657718171588974
Tm6,-2.346198522554604,.9201667772755168,.0107799087602556
Tm5,-.3625140495069501,.9472821966000406,.7019507057385717
Tm4,.2120050381361969,1.015813080114904,.8346787140019788
Tm3,.8488697003166438,1.193100814836344,.4767856290096617
Tm2,-1.440166815666034,1.111935450819056,.1952549606558283
Tm1,2.206003708607909,1.3070006847215,.0914425825390374
Tp0,-.5244004513094354,.8448657771194817,.5348030555847512
Tp1,-1.637735036452566,.8129879416043675,.043960828505047
Tp2,-2.792079831398623,1.24861187813737,.0253421370024565
Tp3,-.7152283764050852,1.254388021269297,.5685548548943596
Tp4,-1.58502854766023,2.119085042288773,.454473553973478
Tp5,-.8085991291382907,1.185391186623433,.4951523578470812
Tp6,-2.503939314627661,1.034171862182903,.0154692648520736
Tp7,1.541133047414537,1.212023927794355,.2035377381827664
Tp8,2.265167165055929,2.615066345733159,.386381186034856
Tp9,.0088987764182426,2.063754175620169,.9965595833088993
Tp10,-.1590656284760847,2.101208099792651,.9396561950508957
Tp11,3.643826473859844,1.207938563934161,.0025565550573536
Tp12,-1.775862068965517,.6158026996215654,.0039288744956324
Tp13,-2.03448275862069,1.582817036425345,.1986680453573601
