coef_name,coef,se
Pre_avg,-.1165616,.26051858
Post_avg,-.2737928,.74746144
Tm5,1.7125013,1.1920059
Tm4,-2.0425992,1.4394099
Tm3,2.7035482,1.1304231
Tm2,-2.5097973,.92599654
Tm1,-.44646108,1.1347195
Tp0,-.32434654,.84717256
Tp1,-.43598104,.90604645
Tp2,.45120749,.99546582
Tp3,.94922811,1.0753146
Tp4,-.36547455,1.1162802
Tp5,-1.9173902,1.0751542
