coef_name,coef,se
Pre_avg,-.14520064,.21639831
Post_avg,-.98646641,.79188275
Tm5,1.7934755,1.2018498
Tm4,-3.4894023,1.8801771
Tm3,3.2123146,1.3885431
Tm2,-3.049361,1.0641997
Tm1,.80696994,.99724954
Tp0,-.26600623,1.0058755
Tp1,-.80597699,1.1755484
Tp2,-.81709766,1.007664
Tp3,-.28439105,.77066064
Tp4,-.71773773,1.2659895
Tp5,-3.0275886,1.1002206
