coef_name,coef,se
Pre_avg,-.0087089743,.14116237
Post_avg,-.44217965,.36538374
Tm5,.59551793,.49138498
Tm4,-2.1406221,.76577961
Tm3,1.1659253,.44874555
Tm2,-.22063531,.6465373
Tm1,.55626941,.48008937
Tp0,-.88721436,.54608673
Tp1,-.23964036,.40290865
Tp2,-.16220914,.53232646
Tp3,-.042046111,.45240745
Tp4,-.55324978,.57907301
Tp5,-.76871818,.5317536
