coef_name,coef,se
Pre_avg,1.9122119,1.5945606
Post_avg,6.2883239,3.1841211
Tm5,12.413323,8.9527149
Tm4,6.8559051,2.9855258
Tm3,-3.7814856,2.6486232
Tm2,-6.0538197,2.777473
Tm1,.12713547,6.6477699
Tp0,1.6717913,4.3191385
Tp1,4.397347,4.8333573
Tp2,7.1058121,1.8842366
Tp3,6.2013412,2.6997571
Tp4,10.946681,3.3873334
Tp5,7.4069705,7.5150642
