fips,county,year,month,fatal_crashes,total_fatalities,alcohol_fatal_crashes,weekend_crashes,night_crashes,crashes_sun,crashes_mon,crashes_tue,crashes_wed,crashes_thu,crashes_fri,crashes_sat,alcohol_flag_source
5001,Arkansas,2014,4,1,1,1,0,1,0,0,1,0,0,0,0,DRUNK_DR
5001,Arkansas,2014,5,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2014,6,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2014,7,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2014,8,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2014,9,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2014,10,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2014,11,1,1,1,1,1,0,0,0,0,0,0,1,DRUNK_DR
5001,Arkansas,2014,12,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2015,2,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2015,3,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2015,4,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2015,5,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2015,6,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2015,7,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2015,8,1,1,0,0,0,0,0,0,1,0,0,0,DRUNK_DR
5001,Arkansas,2015,9,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2015,10,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2015,11,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2015,12,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2016,2,1,1,1,0,0,0,1,0,0,0,0,0,DRUNK_DR
5001,Arkansas,2016,3,1,1,1,0,1,0,0,0,0,0,1,0,DRUNK_DR
5001,Arkansas,2016,4,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2016,5,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2016,6,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2016,7,0,0,0,0,0,0,0,0,0,0,0,0,
