fips,year,church_establishments,church_employees
5035,2012,31,244
5035,2013,31,236
5035,2014,32,285
5035,2015,33,281
5035,2016,34,272
5035,2017,37,269
5035,2018,35,247
5035,2019,35,248
5035,2020,34,215
5035,2021,35,195
5035,2022,35,206
5035,2023,34,209
5037,2008,25,149
5037,2009,25,149
5037,2010,25,149
5037,2011,26,131
5037,2012,28,124
5037,2013,29,135
5037,2014,29,116
5037,2015,26,105
5037,2016,22,102
5037,2017,29,121
5037,2018,29,120
5037,2019,28,114
5037,2020,27,108
5037,2021,26,99
5037,2022,24,100
5037,2023,23,100
5039,2008,11,0
5039,2009,11,0
5039,2010,11,0
5039,2011,12,40
5039,2012,13,47
5039,2013,15,45
5039,2014,15,0
5039,2015,14,51
5039,2016,15,63
5039,2017,15,48
5039,2018,14,48
5039,2019,14,51
5039,2020,12,44
5039,2021,12,46
5039,2022,11,34
5039,2023,11,39
5041,2008,15,114
5041,2009,15,114
5041,2010,15,114
5041,2011,14,102
5041,2012,14,96
5041,2013,13,103
5041,2014,16,95
5041,2015,15,96
5041,2016,15,96
5041,2017,17,82
5041,2018,16,97
5041,2019,15,78
5041,2020,17,86
5041,2021,16,72
5041,2022,16,87
5041,2023,17,84
5043,2008,20,106
5043,2009,20,106
5043,2010,20,106
5043,2011,19,100
5043,2012,17,105
5043,2013,16,104
5043,2014,15,98
5043,2015,16,98
5043,2016,17,105
5043,2017,17,113
5043,2018,17,105
5043,2019,17,83
5043,2020,16,99
5043,2021,15,84
5043,2022,15,92
5043,2023,14,88
5045,2008,89,759
5045,2009,89,759
5045,2010,89,759
5045,2011,89,841
5045,2012,86,856
5045,2013,89,945
5045,2014,89,933
5045,2015,90,971
5045,2016,89,1083
5045,2017,97,1166
5045,2018,99,1288
5045,2019,101,1330
5045,2020,97,1371
5045,2021,97,1173
5045,2022,96,1267
5045,2023,104,1265
5047,2008,19,82
5047,2009,19,82
5047,2010,19,82
5047,2011,16,0
5047,2012,14,69
5047,2013,17,75
5047,2014,17,76
5047,2015,16,70
5047,2016,16,65
5047,2017,16,51
5047,2018,16,58
5047,2019,16,58
5047,2020,16,57
5047,2021,20,61
5047,2022,20,48
5047,2023,18,64
5049,2008,6,0
5049,2009,6,0
5049,2010,6,0
5049,2011,6,0
5049,2012,6,0
5049,2013,8,27
5049,2014,9,31
5049,2015,9,33
5049,2016,9,36
5049,2017,8,29
5049,2018,9,29
5049,2019,10,26
5049,2020,9,26
5049,2021,9,32
5049,2022,9,26
5049,2023,9,24
5051,2008,90,767
5051,2009,90,767
5051,2010,90,767
5051,2011,88,737
5051,2012,83,703
5051,2013,82,679
5051,2014,83,650
5051,2015,84,622
5051,2016,86,651
5051,2017,88,666
5051,2018,88,619
5051,2019,88,595
5051,2020,86,547
5051,2021,91,541
