fips,county_name,acs_vintage,pop_15plus,n_married,n_divorced,n_separated,n_widowed,n_never_married,pct_married,pct_divorced,pct_never_married,pct_widowed,pct_separated
05105,Perry,2009,8402,5032,1204,82,642,1524,0.5989,0.1433,0.1814,0.0764,0.0098
05107,Phillips,2009,16473,7551,1740,726,2032,5150,0.4584,0.1056,0.3126,0.1234,0.0441
05109,Pike,2009,8744,5460,804,105,871,1609,0.6244,0.0919,0.184,0.0996,0.012
05111,Poinsett,2009,19651,10656,2845,481,1948,4202,0.5423,0.1448,0.2138,0.0991,0.0245
05113,Polk,2009,16186,9866,2091,150,1578,2651,0.6095,0.1292,0.1638,0.0975,0.0093
05115,Pope,2009,47425,26294,6271,1027,3100,11760,0.5544,0.1322,0.248,0.0654,0.0217
05117,Prairie,2009,7297,4405,765,116,758,1369,0.6037,0.1048,0.1876,0.1039,0.0159
05119,Pulaski,2009,296698,149207,39728,8116,19486,88277,0.5029,0.1339,0.2975,0.0657,0.0274
05121,Randolph,2009,14630,8544,2121,263,1417,2548,0.584,0.145,0.1742,0.0969,0.018
05123,St. Francis,2009,20872,9607,3032,1002,1775,6458,0.4603,0.1453,0.3094,0.085,0.048
05125,Saline,2009,76318,46004,9423,1310,4273,16618,0.6028,0.1235,0.2177,0.056,0.0172
05127,Scott,2009,8909,5257,942,190,1050,1660,0.5901,0.1057,0.1863,0.1179,0.0213
05129,Searcy,2009,6638,3784,1021,171,654,1179,0.5701,0.1538,0.1776,0.0985,0.0258
05131,Sebastian,2009,94668,52744,12647,2607,6842,22435,0.5571,0.1336,0.237,0.0723,0.0275
05133,Sevier,2009,12347,7390,1087,435,994,2876,0.5985,0.088,0.2329,0.0805,0.0352
05135,Sharp,2009,14682,8441,2126,383,1542,2573,0.5749,0.1448,0.1752,0.105,0.0261
05137,Stone,2009,9985,5650,1434,188,875,2026,0.5658,0.1436,0.2029,0.0876,0.0188
05139,Union,2009,34439,19041,4074,1140,2984,8340,0.5529,0.1183,0.2422,0.0866,0.0331
05141,Van Buren,2009,13568,7844,1621,390,1468,2635,0.5781,0.1195,0.1942,0.1082,0.0287
05143,Washington,2009,151106,80540,16581,2893,7622,46363,0.533,0.1097,0.3068,0.0504,0.0191
05145,White,2009,59088,33289,7668,1309,3932,14199,0.5634,0.1298,0.2403,0.0665,0.0222
05147,Woodruff,2009,6208,3360,828,121,686,1334,0.5412,0.1334,0.2149,0.1105,0.0195
05149,Yell,2009,16972,9668,2196,362,1503,3605,0.5696,0.1294,0.2124,0.0886,0.0213
05001,Arkansas,2010,15708,8623,2003,424,1509,3573,0.549,0.1275,0.2275,0.0961,0.027
05003,Ashley,2010,17616,10494,1831,498,1506,3785,0.5957,0.1039,0.2149,0.0855,0.0283
05005,Baxter,2010,35173,21870,4505,624,3558,5240,0.6218,0.1281,0.149,0.1012,0.0177
05007,Benton,2010,160262,100841,16221,2563,8431,34769,0.6292,0.1012,0.217,0.0526,0.016
05009,Boone,2010,29541,17626,3797,532,2264,5854,0.5967,0.1285,0.1982,0.0766,0.018
05011,Bradley,2010,9275,5352,852,241,695,2376,0.577,0.0919,0.2562,0.0749,0.026
