fips,county,year,total_crashes,crashes_sun,share_sun,crashes_mon,share_mon,crashes_tue,share_tue,crashes_wed,share_wed,crashes_thu,share_thu,crashes_fri,share_fri,crashes_sat,share_sat
5007,Benton,2014,12,2,0.1667,1,0.0833,2,0.1667,1,0.0833,3,0.25,2,0.1667,1,0.0833
5007,Benton,2015,21,3,0.1429,2,0.0952,3,0.1429,5,0.2381,2,0.0952,3,0.1429,3,0.1429
5007,Benton,2016,27,2,0.0741,6,0.2222,3,0.1111,3,0.1111,3,0.1111,3,0.1111,7,0.2593
5007,Benton,2017,15,0,0.0,2,0.1333,3,0.2,1,0.0667,4,0.2667,3,0.2,2,0.1333
5007,Benton,2018,17,3,0.1765,1,0.0588,1,0.0588,0,0.0,3,0.1765,3,0.1765,6,0.3529
5007,Benton,2019,22,1,0.0455,4,0.1818,2,0.0909,3,0.1364,4,0.1818,3,0.1364,5,0.2273
5007,Benton,2020,34,1,0.0294,9,0.2647,4,0.1176,5,0.1471,4,0.1176,3,0.0882,8,0.2353
5007,Benton,2021,30,6,0.2,7,0.2333,4,0.1333,4,0.1333,1,0.0333,3,0.1,5,0.1667
5007,Benton,2022,25,3,0.12,3,0.12,4,0.16,2,0.08,2,0.08,2,0.08,9,0.36
5007,Benton,2023,23,5,0.2174,3,0.1304,4,0.1739,2,0.087,1,0.0435,3,0.1304,5,0.2174
5009,Boone,2008,5,0,0.0,0,0.0,0,0.0,2,0.4,1,0.2,2,0.4,0,0.0
5009,Boone,2009,8,3,0.375,1,0.125,0,0.0,1,0.125,0,0.0,2,0.25,1,0.125
5009,Boone,2010,6,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1667,2,0.3333,3,0.5
5009,Boone,2011,5,0,0.0,1,0.2,1,0.2,0,0.0,0,0.0,2,0.4,1,0.2
5009,Boone,2012,5,0,0.0,0,0.0,1,0.2,1,0.2,1,0.2,2,0.4,0,0.0
5009,Boone,2013,5,1,0.2,1,0.2,0,0.0,1,0.2,0,0.0,1,0.2,1,0.2
5009,Boone,2014,2,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0
5009,Boone,2015,7,3,0.4286,2,0.2857,0,0.0,0,0.0,1,0.1429,1,0.1429,0,0.0
5009,Boone,2016,6,0,0.0,1,0.1667,0,0.0,3,0.5,0,0.0,1,0.1667,1,0.1667
5009,Boone,2017,8,1,0.125,1,0.125,0,0.0,2,0.25,2,0.25,1,0.125,1,0.125
5009,Boone,2018,11,1,0.0909,3,0.2727,2,0.1818,2,0.1818,0,0.0,1,0.0909,2,0.1818
5009,Boone,2019,5,0,0.0,0,0.0,3,0.6,0,0.0,1,0.2,1,0.2,0,0.0
5009,Boone,2020,6,2,0.3333,3,0.5,0,0.0,1,0.1667,0,0.0,0,0.0,0,0.0
5009,Boone,2021,12,4,0.3333,1,0.0833,1,0.0833,2,0.1667,0,0.0,4,0.3333,0,0.0
5009,Boone,2022,6,1,0.1667,2,0.3333,0,0.0,1,0.1667,1,0.1667,0,0.0,1,0.1667
5009,Boone,2023,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.6667,1,0.3333
5011,Bradley,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5011,Bradley,2009,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5011,Bradley,2010,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,0.5
5011,Bradley,2011,5,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,1,0.2,3,0.6
5011,Bradley,2012,2,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,1,0.5
5011,Bradley,2013,4,0,0.0,0,0.0,1,0.25,2,0.5,0,0.0,0,0.0,1,0.25
5011,Bradley,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5011,Bradley,2015,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5011,Bradley,2016,2,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0
5011,Bradley,2017,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0
5011,Bradley,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5011,Bradley,2019,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0
5011,Bradley,2020,7,0,0.0,1,0.1429,2,0.2857,1,0.1429,1,0.1429,1,0.1429,1,0.1429
5011,Bradley,2021,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0
5011,Bradley,2022,3,1,0.3333,0,0.0,1,0.3333,0,0.0,0,0.0,1,0.3333,0,0.0
5011,Bradley,2023,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0
5013,Calhoun,2008,1,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5013,Calhoun,2009,4,1,0.25,0,0.0,1,0.25,1,0.25,0,0.0,1,0.25,0,0.0
5013,Calhoun,2010,2,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0
5013,Calhoun,2011,3,1,0.3333,0,0.0,0,0.0,1,0.3333,0,0.0,0,0.0,1,0.3333
5013,Calhoun,2012,3,1,0.3333,0,0.0,0,0.0,0,0.0,2,0.6667,0,0.0,0,0.0
5013,Calhoun,2013,2,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,1,0.5
5013,Calhoun,2014,3,0,0.0,2,0.6667,0,0.0,0,0.0,0,0.0,1,0.3333,0,0.0
5013,Calhoun,2015,1,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
5013,Calhoun,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5013,Calhoun,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
