section,arm,outcome,exposure,dropped,b,pct,se,p,n
s2_origin,urban_jk,n_nonres,pop,0,-.1617600377009601,-14.93546971461564,.0890874034477138,.0694094454365341,528
s2_origin,urban_jk,n_nonres,n_resknown,0,-.0382824606737577,-3.755894925377534,.0494696881062558,.4390154053908481,507
s2_origin,urban_jk,n_nonres_drink,pop,0,.4531404640060391,57.32451553117273,.1938056961525696,.0193811605339111,528
s2_origin,urban_jk,n_nonres_drink,n_resknown_drink,0,.3325464374064843,39.45146553252514,.1548580075317336,.0317592152930099,365
s2_origin,urban_jk,n_nonres_dry,pop,0,-.0976937850703868,-9.307342430435483,.205990549083814,.6353120637486427,528
s2_origin,urban_jk,n_nonres_dry,n_resknown,0,.0489800117526559,5.01993588856875,.1948807163796339,.8015564387101453,507
s2_origin,urban_jk,n_nonres,pop,5007,-.1793730063116202,-16.42059152225965,.1204909378797114,.1365704363455002,512
s2_origin,urban_jk,n_nonres,n_resknown,5007,-.0600285594974675,-5.826236235349413,.065428177471306,.3588950493222559,491
s2_origin,urban_jk,n_nonres_drink,pop,5007,.299054960290749,34.85837399906084,.2048239830810765,.1442740468082972,512
s2_origin,urban_jk,n_nonres_drink,n_resknown_drink,5007,.248819342316019,28.25103167962648,.2034073016188121,.2212327601195952,349
s2_origin,urban_jk,n_nonres_dry,pop,5007,-.2295046815246433,-20.50727528423675,.1648856760188347,.1639521141587275,512
s2_origin,urban_jk,n_nonres_dry,n_resknown,5007,-.0891300215788701,-8.527336835876998,.1705972242348888,.6013509230202767,491
s2_origin,urban_jk,n_nonres,pop,5081,-.1571185314078878,-14.53972444538057,.1005438897280621,.1181264629840507,512
s2_origin,urban_jk,n_nonres,n_resknown,5081,-.0115230985326244,-1.145696190941969,.0466946075009317,.8050817499290877,492
s2_origin,urban_jk,n_nonres_drink,pop,5081,.4900145558064315,63.23399798072331,.2000446476240459,.0143044401335413,512
s2_origin,urban_jk,n_nonres_drink,n_resknown_drink,5081,.4175980658976091,51.83102910595289,.1250265742196686,.0008375593388324,353
s2_origin,urban_jk,n_nonres_dry,pop,5081,-.1944335965910265,-17.669915357576,.2111753072980024,.3571959696755502,512
s2_origin,urban_jk,n_nonres_dry,n_resknown,5081,.0235438886276541,2.382323395729236,.2339329367118476,.9198332633935927,492
s2_origin,urban_jk,n_nonres,pop,5087,-.2212956174509196,-19.85202861237625,.0695054474229887,.00145325254219,512
s2_origin,urban_jk,n_nonres,n_resknown,5087,-.067500220902852,-6.527248586796897,.0483635155423543,.1628094498097798,491
s2_origin,urban_jk,n_nonres_drink,pop,5087,.5694486404866779,76.7292369297659,.1635762060948398,.0004990911329061,512
s2_origin,urban_jk,n_nonres_drink,n_resknown_drink,5087,.3884022892200992,47.46228898724585,.1559997371701091,.0127828498170134,353
s2_origin,urban_jk,n_nonres_dry,pop,5087,.0269372026797509,2.730328884423749,.232567850541673,.9077911297509944,512
s2_origin,urban_jk,n_nonres_dry,n_resknown,5087,.1977447325986047,21.86512721702705,.1832747657727747,.2806089861173097,491
s2_origin,urban_jk,n_nonres,pop,5125,-.0623160293011497,-6.041409681055443,.0938914119887284,.5068802996568385,512
s2_origin,urban_jk,n_nonres,n_resknown,5125,-.0154243153379727,-1.53059698335688,.0660642174725408,.8153929074414731,491
s2_origin,urban_jk,n_nonres_drink,pop,5125,.4043458415471436,49.83220393762504,.2831035604654438,.1532166804780539,512
s2_origin,urban_jk,n_nonres_drink,n_resknown_drink,5125,.2321371190124253,26.12926641761874,.2211212048182347,.2938015940157701,349
s2_origin,urban_jk,n_nonres_dry,pop,5125,.0999347261815148,10.50987817040798,.3953957445881915,.8004644336328794,512
s2_origin,urban_jk,n_nonres_dry,n_resknown,5125,.079126658346674,8.234140096142117,.4202907145590724,.8506677513438868,491
