year,month,crash_fips,home_fips,dr_drink,resident,in_state,out_of_state,home_dry
2008,3,05125,05125,0,True,True,False,True
2008,2,05149,05149,1,True,True,False,True
2008,3,05119,05119,0,True,True,False,False
2008,3,05119,05119,0,True,True,False,False
2008,3,05069,05069,0,True,True,False,False
2008,3,05069,05069,0,True,True,False,False
2008,3,05069,05069,0,True,True,False,False
2008,4,05005,05089,0,False,True,False,False
2008,4,05123,05035,0,False,True,False,False
2008,4,05123,05107,0,False,True,False,False
2008,4,05123,05037,0,False,True,False,False
2008,4,05125,05043,0,False,True,False,False
2008,4,05125,05053,0,False,True,False,True
2008,4,05057,05057,0,True,True,False,True
2008,4,05057,05145,0,False,True,False,True
2008,4,05031,05031,0,True,True,False,True
2008,4,05031,17167,0,False,False,True,
2008,4,05031,05031,0,True,True,False,True
2008,4,05085,05045,0,False,True,False,True
2008,4,05095,05095,0,True,True,False,False
2008,4,05029,05045,0,False,True,False,True
2008,4,05093,05093,0,True,True,False,False
2008,4,05119,,0,,,,
2008,4,05055,05055,0,True,True,False,False
2008,4,05059,05051,0,False,True,False,False
2008,4,05055,05055,0,True,True,False,False
2008,4,05055,05055,0,True,True,False,False
2008,4,05055,05055,1,True,True,False,False
2008,4,05111,05111,1,True,True,False,False
2008,4,05015,05145,1,False,True,False,True
2008,4,05015,05015,0,True,True,False,False
2008,4,05029,05115,0,False,True,False,True
2008,4,05119,05119,1,True,True,False,False
2008,4,05043,05017,0,False,True,False,False
2008,4,05077,05077,1,True,True,False,False
2008,4,05125,05125,0,True,True,False,True
2008,4,05137,05137,0,True,True,False,True
2008,4,05119,05045,0,False,True,False,True
2008,4,05119,05145,0,False,True,False,True
2008,4,05119,05119,0,True,True,False,False
2008,4,05147,05147,0,True,True,False,False
2008,4,05031,05031,1,True,True,False,True
2008,4,05059,48355,0,False,False,True,
2008,4,05059,05045,0,False,True,False,True
2008,4,05059,05009,0,False,True,False,False
2008,4,05009,05009,0,True,True,False,False
2008,4,05009,29213,0,False,False,True,
2008,4,05125,05125,0,True,True,False,True
2008,4,05059,22017,0,False,False,True,
2008,4,05059,48037,0,False,False,True,
2008,4,05007,05007,0,True,True,False,True
2008,4,05007,05007,0,True,True,False,True
2008,4,05051,05097,1,False,True,False,True
2008,4,05119,05119,1,True,True,False,False
2008,4,05119,05119,0,True,True,False,False
2008,4,05143,05143,0,True,True,False,False
2008,4,05089,05089,0,True,True,False,False
2008,4,05031,05031,0,True,True,False,True
2008,4,05031,05147,0,False,True,False,False
2008,4,05031,05031,0,True,True,False,True
2008,4,05097,22015,0,False,False,True,
2008,4,05119,05119,0,True,True,False,False
2008,4,05119,05119,1,True,True,False,False
2008,4,05045,16001,1,False,False,True,
2008,4,05111,05031,0,False,True,False,True
2008,4,05111,05123,0,False,True,False,False
2008,4,05059,05019,0,False,True,False,False
2008,4,05069,05069,0,True,True,False,False
2008,4,05055,05055,0,True,True,False,False
2008,4,05055,05031,0,False,True,False,True
2008,3,05103,05103,1,True,True,False,False
2008,2,05075,05121,0,False,True,False,True
2008,2,05071,05071,0,True,True,False,True
2008,3,05139,05139,0,True,True,False,False
2008,5,05089,05089,1,True,True,False,False
2008,5,05053,47097,0,False,False,True,
2008,5,05053,05125,0,False,True,False,True
2008,5,05053,05053,0,True,True,False,True
2008,5,05003,05003,1,True,True,False,True
2008,5,05117,06037,0,False,False,True,
2008,5,05117,47157,1,False,False,True,
2008,5,05117,21083,0,False,False,True,
2008,5,05117,29143,0,False,False,True,
2008,5,05131,05131,0,True,True,False,True
2008,5,05053,05053,0,True,True,False,True
2008,5,05053,05053,0,True,True,False,True
2008,5,05007,05007,1,True,True,False,True
2008,5,05119,05119,1,True,True,False,False
2008,5,05027,05073,0,False,True,False,True
2008,5,05027,05027,0,True,True,False,True
2008,5,05027,05143,0,False,True,False,False
2008,5,05051,05051,0,True,True,False,False
2008,5,05005,05005,0,True,True,False,False
2008,5,05119,05119,0,True,True,False,False
2008,5,05115,05115,0,True,True,False,True
2008,5,05067,05023,0,False,True,False,True
2008,5,05067,05063,0,False,True,False,True
2008,5,05045,05045,0,True,True,False,True
2008,5,05059,05125,0,False,True,False,True
2008,5,05083,05083,1,True,True,False,True
2008,5,05007,05007,1,True,True,False,True
2008,5,05067,05067,0,True,True,False,False
2008,5,05075,05075,0,True,True,False,True
2008,5,05083,05083,0,True,True,False,True
2008,5,05083,05033,1,False,True,False,True
2008,5,05079,05043,0,False,True,False,False
2008,5,05079,05041,0,False,True,False,False
2008,5,05143,05143,0,True,True,False,False
2008,5,05111,05111,1,True,True,False,False
2008,5,05003,05003,1,True,True,False,True
2008,5,05119,05125,0,False,True,False,True
2008,5,05085,05085,0,True,True,False,True
2008,5,05085,05085,0,True,True,False,True
2008,5,05131,05131,1,True,True,False,True
2008,5,05007,05007,1,True,True,False,True
2008,5,05101,05101,0,True,True,False,True
2008,5,05101,05101,0,True,True,False,True
2008,5,05045,05067,0,False,True,False,False
2008,5,05077,26163,0,False,False,True,
2008,5,05077,05077,0,True,True,False,False
2008,5,05029,40071,0,False,False,True,
2008,5,05101,05101,0,True,True,False,True
