arm,outcome,att,p,preavg,preavg_p,n
pool,fatal_crashes,-.8227461960444086,.427514082748134,-.0349785693662508,.8774118960564663,36
rural,fatal_crashes,-.8227461960444086,.427514082748134,-.0349785693662508,.8774118960564663,36
urban,fatal_crashes,,,,,
pool,alcohol_fatal_crashes,-1.51030002887249,9.52232804222e-11,.2091916690727074,.0171676445511382,36
rural,alcohol_fatal_crashes,-1.51030002887249,9.52232804222e-11,.2091916690727074,.0171676445511382,36
urban,alcohol_fatal_crashes,,,,,
pool,nonalc_fatal_crashes,.6752636179902337,.5882200141638296,0,,36
rural,nonalc_fatal_crashes,.6752636179902337,.5882200141638296,0,,36
urban,nonalc_fatal_crashes,,,,,
