crash_fips,year,month,n_drivers,n_drink,sh_nonresident,sh_out_of_state,sh_home_dry,sh_nonresident_drink,sh_home_dry_drink
05005,2009,5,1,1,0.0,0.0,0.0,0.0,0.0
05005,2009,6,3,1,0.0,0.0,0.0,0.0,0.0
05005,2009,10,1,0,0.0,0.0,0.0,,
05005,2009,11,3,0,0.6666666666666667,0.3333333333333333,0.5,,
05005,2010,1,2,0,0.0,0.0,0.0,,
05005,2010,4,4,0,0.25,0.0,0.0,,
05005,2010,7,2,0,0.5,0.0,0.0,,
05005,2010,9,2,0,1.0,0.5,1.0,,
05005,2010,12,3,0,0.6666666666666667,0.0,0.0,,
05005,2011,5,5,1,0.19999999999999996,0.0,0.2,0.0,0.0
05005,2011,10,1,0,0.0,0.0,0.0,,
05005,2012,3,3,1,0.0,0.0,0.0,0.0,0.0
05005,2012,8,1,1,0.0,0.0,0.0,0.0,0.0
05005,2012,10,2,0,0.5,0.0,0.5,,
05005,2013,3,1,0,0.0,0.0,0.0,,
05005,2013,9,1,1,0.0,0.0,0.0,0.0,0.0
05005,2013,12,2,0,0.0,0.0,0.0,,
05005,2014,1,1,0,1.0,0.0,1.0,,
05005,2014,3,1,0,1.0,1.0,,,
05005,2014,4,3,0,0.33333333333333337,0.3333333333333333,0.0,,
05005,2014,7,1,0,1.0,0.0,1.0,,
05005,2014,9,1,1,1.0,1.0,,1.0,
05005,2014,10,1,0,0.0,0.0,0.0,,
05005,2015,1,2,0,0.5,0.5,0.0,,
05005,2015,3,1,0,0.0,0.0,0.0,,
05005,2015,6,4,0,0.75,0.0,0.25,,
05005,2015,7,2,0,0.5,0.5,0.0,,
05005,2015,8,2,1,0.5,0.5,0.0,0.0,0.0
05005,2015,10,2,0,0.0,0.0,0.0,,
05005,2015,11,5,0,0.6,0.0,0.0,,
05005,2015,12,2,1,0.0,0.0,0.0,0.0,0.0
05005,2016,8,1,0,1.0,0.0,0.0,,
05005,2016,9,2,0,0.0,0.0,0.0,,
05005,2016,11,1,0,0.0,0.0,0.0,,
05005,2017,3,3,0,0.33333333333333337,0.0,0.0,,
05005,2017,5,1,0,1.0,1.0,,,
05005,2017,6,2,0,1.0,0.5,1.0,,
05005,2017,7,1,0,1.0,0.0,1.0,,
05005,2017,8,1,0,0.0,0.0,0.0,,
05005,2017,10,3,0,0.33333333333333337,0.3333333333333333,0.0,,
05005,2017,11,3,1,0.0,0.0,0.0,0.0,0.0
05005,2017,12,1,1,0.0,0.0,0.0,0.0,0.0
05005,2018,1,1,0,0.0,0.0,0.0,,
05005,2018,9,2,2,0.5,0.5,0.0,0.5,0.0
05005,2018,10,3,1,0.33333333333333337,0.0,0.0,0.0,0.0
05005,2019,2,2,0,0.0,0.0,0.0,,
05005,2019,4,1,0,0.0,0.0,0.0,,
05005,2019,6,3,2,0.0,0.0,0.0,0.0,0.0
05005,2019,7,1,0,1.0,1.0,,,
05005,2019,8,3,0,0.0,0.0,0.0,,
05005,2020,4,1,1,1.0,1.0,,1.0,
05005,2020,5,2,0,0.0,0.0,0.0,,
05005,2020,6,4,2,0.0,0.0,0.0,0.0,0.0
05005,2020,11,1,0,,,,,
05005,2020,12,2,0,1.0,0.5,1.0,,
05005,2021,5,1,1,0.0,0.0,0.0,0.0,0.0
05005,2021,6,1,1,0.0,0.0,0.0,0.0,0.0
05005,2021,8,1,0,1.0,1.0,,,
05005,2021,9,1,0,1.0,1.0,,,
05005,2021,10,4,0,0.0,0.0,0.0,,
05005,2021,11,1,1,0.0,0.0,0.0,0.0,0.0
05005,2021,12,2,0,0.0,0.0,0.0,,
05005,2022,2,1,1,0.0,0.0,0.0,0.0,0.0
05005,2022,5,2,0,0.5,0.0,0.0,,
05005,2022,7,2,0,0.0,0.0,0.0,,
05005,2022,9,1,1,1.0,1.0,,1.0,
05005,2023,2,2,0,0.5,0.5,0.0,,
05005,2023,5,2,0,0.0,0.0,0.0,,
05005,2023,6,2,1,0.0,0.0,0.0,0.0,0.0
05005,2023,8,2,1,0.5,0.0,0.5,0.0,0.0
05005,2023,9,2,0,0.5,0.0,0.5,,
05007,2008,2,4,1,0.5,0.25,0.6666666666666666,1.0,
05007,2008,3,2,0,0.0,0.0,1.0,,
05007,2008,4,2,0,0.0,0.0,1.0,,
05007,2008,5,3,3,0.0,0.0,1.0,0.0,1.0
05007,2008,6,3,0,0.33333333333333337,0.0,0.6666666666666666,,
05007,2008,7,9,1,0.5555555555555556,0.3333333333333333,0.6666666666666666,1.0,
05007,2008,8,2,1,0.0,0.0,1.0,0.0,1.0
05007,2008,9,6,0,0.33333333333333337,0.3333333333333333,1.0,,
05007,2008,10,2,0,0.5,0.5,1.0,,
05007,2008,11,1,0,0.0,0.0,1.0,,
05007,2008,12,2,0,0.0,0.0,1.0,,
05007,2009,1,1,0,1.0,1.0,,,
05007,2009,2,2,0,1.0,1.0,,,
05007,2009,4,6,0,0.6666666666666667,0.6666666666666666,1.0,,
05007,2009,5,2,1,0.0,0.0,1.0,0.0,1.0
05007,2009,6,5,1,0.6,0.0,0.4,1.0,0.0
05007,2009,7,5,0,0.4,0.4,1.0,,
