crash_fips,year,n_drivers,n_drink,sh_nonresident,sh_out_of_state,sh_home_dry,sh_nonresident_drink,sh_home_dry_drink
05009,2018,17,3,0.3529411764705882,0.058823529411764705,0.0,0.33333333333333337,0.0
05009,2019,9,1,0.6666666666666667,0.2222222222222222,0.14285714285714285,0.0,0.0
05009,2020,9,1,0.5555555555555556,0.1111111111111111,0.125,0.0,0.0
05009,2021,19,4,0.3157894736842105,0.21052631578947367,0.06666666666666667,0.0,0.0
05009,2022,8,2,0.5,0.125,0.0,0.5,0.0
05009,2023,4,0,0.0,0.0,0.0,,
05011,2009,1,0,0.0,0.0,1.0,,
05011,2010,2,2,0.5,0.0,0.5,0.5,0.5
05011,2011,5,4,0.4,0.0,0.6,0.25,0.75
05011,2012,2,1,0.0,0.0,1.0,0.0,1.0
05011,2013,7,1,0.4285714285714286,0.0,0.7142857142857143,0.0,1.0
05011,2015,1,0,1.0,0.0,0.0,,
05011,2016,3,0,0.33333333333333337,0.0,1.0,,
05011,2017,1,0,1.0,0.0,0.0,,
05011,2019,2,1,0.0,0.0,1.0,0.0,1.0
05011,2020,10,3,0.5,0.0,0.5,0.0,1.0
05011,2021,2,0,0.0,0.0,1.0,,
05011,2022,4,0,0.75,0.0,0.25,,
05011,2023,1,0,0.0,0.0,1.0,,
05013,2008,1,0,0.0,0.0,0.0,,
05013,2009,4,0,1.0,0.0,0.0,,
05013,2010,3,0,0.6666666666666667,0.3333333333333333,0.0,,
05013,2011,5,1,0.8,0.2,0.25,0.0,0.0
05013,2012,3,1,0.33333333333333337,0.0,0.0,0.0,0.0
05013,2013,4,1,0.75,0.0,0.25,1.0,1.0
05013,2014,4,1,1.0,0.25,0.0,1.0,0.0
05013,2015,1,0,1.0,0.0,0.0,,
05013,2018,2,0,1.0,0.5,0.0,,
05013,2019,3,1,1.0,0.0,0.0,1.0,0.0
05013,2020,2,1,1.0,0.0,0.0,1.0,0.0
05013,2021,7,0,0.8333333333333334,0.16666666666666666,0.0,,
05013,2022,9,0,0.7777777777777778,0.1111111111111111,0.125,,
05015,2008,16,3,0.5625,0.1875,0.07692307692307693,0.6666666666666667,0.5
05015,2009,13,5,0.3846153846153846,0.3076923076923077,0.0,0.6,0.0
05015,2010,11,5,0.5454545454545454,0.09090909090909091,0.2,0.19999999999999996,0.0
05015,2011,12,6,0.16666666666666663,0.16666666666666666,0.0,0.16666666666666663,0.0
05015,2012,14,1,0.5,0.42857142857142855,0.0,0.0,0.0
05015,2013,10,0,0.6,0.5,0.2,,
05015,2014,4,0,1.0,0.5,0.0,,
05015,2015,19,7,0.42105263157894735,0.0,0.10526315789473684,0.1428571428571429,0.14285714285714285
05015,2016,14,3,0.6428571428571428,0.35714285714285715,0.0,0.6666666666666667,0.0
05015,2017,13,4,0.3076923076923077,0.15384615384615385,0.09090909090909091,0.25,0.0
05015,2018,14,4,0.4285714285714286,0.21428571428571427,0.0,0.25,0.0
05015,2019,3,1,0.33333333333333337,0.0,0.0,0.0,0.0
05015,2020,17,3,0.3529411764705882,0.23529411764705882,0.0,0.33333333333333337,0.0
05015,2021,5,1,0.6,0.2,0.0,1.0,
05015,2022,5,0,0.6,0.6,0.0,,
05015,2023,12,3,0.5833333333333333,0.25,0.0,0.6666666666666667,0.0
05017,2008,4,1,0.5,0.5,0.0,0.0,0.0
05017,2009,5,1,0.4,0.0,0.0,0.0,0.0
05017,2010,3,1,0.0,0.0,0.0,0.0,0.0
05017,2011,4,3,0.75,0.5,0.5,0.6666666666666667,0.5
05017,2012,5,1,0.8,0.4,0.0,1.0,0.0
05017,2014,5,0,0.8,0.0,0.2,,
05017,2015,12,0,0.6666666666666667,0.4166666666666667,0.2857142857142857,,
05017,2016,10,1,0.7,0.4,0.0,0.0,0.0
05017,2017,10,2,0.9,0.5,0.4,1.0,0.5
05017,2018,3,0,0.6666666666666667,0.3333333333333333,0.0,,
05017,2019,8,2,0.75,0.625,0.0,0.0,0.0
05017,2021,5,0,1.0,0.4,0.0,,
05017,2022,5,1,0.8,0.2,0.25,1.0,
05017,2023,6,3,0.5,0.16666666666666666,0.0,0.33333333333333337,0.0
05019,2008,6,0,0.8333333333333334,0.16666666666666666,0.2,,
05019,2009,13,2,0.6923076923076923,0.23076923076923078,0.3,0.5,0.0
05019,2010,8,2,0.875,0.25,0.5,0.5,0.0
05019,2011,3,1,0.6666666666666667,0.0,0.6666666666666666,1.0,1.0
05019,2012,9,2,0.7777777777777778,0.1111111111111111,0.5,0.5,0.5
05019,2013,9,0,0.4444444444444444,0.1111111111111111,0.0,,
05019,2014,10,3,0.8,0.4,0.16666666666666666,0.33333333333333337,0.0
05019,2015,4,0,0.5,0.25,0.3333333333333333,,
05019,2016,2,1,0.0,0.0,0.0,0.0,0.0
05019,2017,7,1,1.0,0.8571428571428571,1.0,1.0,
05019,2018,9,5,0.4444444444444444,0.1111111111111111,0.375,0.4,0.4
05019,2019,11,2,0.8181818181818181,0.7272727272727273,0.3333333333333333,0.5,0.0
05019,2020,5,1,0.8,0.2,0.5,1.0,
05019,2021,13,2,0.6153846153846154,0.15384615384615385,0.36363636363636365,0.5,0.5
05019,2022,9,0,0.625,0.25,0.0,,
05019,2023,10,2,0.9,0.3,0.5714285714285714,1.0,1.0
05021,2008,3,0,0.33333333333333337,0.3333333333333333,1.0,,
05021,2009,2,1,0.5,0.0,1.0,1.0,1.0
05021,2010,6,2,0.6666666666666667,0.3333333333333333,1.0,0.5,1.0
05021,2011,9,0,0.4444444444444444,0.2222222222222222,0.8571428571428571,,
05021,2012,2,1,0.5,0.0,1.0,0.0,1.0
05021,2014,6,1,0.0,0.0,1.0,0.0,1.0
05021,2015,9,3,0.11111111111111116,0.1111111111111111,1.0,0.0,1.0
05021,2016,7,0,0.4285714285714286,0.14285714285714285,1.0,,
05021,2017,7,1,0.7142857142857143,0.5714285714285714,1.0,0.0,1.0
05021,2018,8,2,0.5,0.375,1.0,0.0,1.0
05021,2019,2,1,0.0,0.0,1.0,0.0,1.0
05021,2020,2,0,1.0,0.5,0.0,,
05021,2021,11,1,0.6363636363636364,0.2727272727272727,0.625,1.0,
05021,2022,5,1,1.0,0.5,0.0,,
05021,2023,2,0,0.5,0.5,1.0,,
05023,2008,6,1,0.33333333333333337,0.0,1.0,1.0,1.0
05023,2009,5,1,0.8,0.2,0.75,1.0,1.0
05023,2010,8,4,0.25,0.0,0.875,0.5,0.75
05023,2011,17,8,0.4117647058823529,0.058823529411764705,1.0,0.5,1.0
05023,2012,11,3,0.36363636363636365,0.09090909090909091,0.9,0.33333333333333337,1.0
05023,2013,5,1,0.0,0.0,1.0,0.0,1.0
05023,2014,9,1,0.4444444444444444,0.1111111111111111,0.875,1.0,1.0
05023,2015,6,1,0.33333333333333337,0.0,1.0,0.0,1.0
05023,2016,3,2,0.6666666666666667,0.0,1.0,0.5,1.0
05023,2017,9,2,0.33333333333333337,0.0,1.0,0.0,1.0
05023,2018,8,0,0.75,0.0,0.875,,
05023,2019,11,3,0.4545454545454546,0.0,0.8181818181818182,0.0,1.0
05023,2020,15,6,0.6,0.0,0.8,0.5,0.6666666666666666
05023,2021,8,1,0.375,0.125,1.0,0.0,1.0
05023,2022,5,2,0.4,0.0,0.6,0.5,0.5
05023,2023,6,1,0.5,0.3333333333333333,1.0,0.0,1.0
05025,2008,3,0,0.6666666666666667,0.0,0.0,,
05025,2009,4,0,0.5,0.0,0.25,,
05025,2010,7,0,0.7142857142857143,0.14285714285714285,0.16666666666666666,,
05025,2011,5,0,0.6,0.2,0.0,,
05025,2012,6,1,0.6666666666666667,0.0,0.3333333333333333,0.0,0.0
05025,2013,4,1,0.25,0.0,0.25,0.0,0.0
05025,2015,4,0,0.75,0.0,0.25,,
05025,2016,5,1,0.6,0.0,0.2,0.0,0.0
05025,2017,2,1,0.0,0.0,0.0,0.0,0.0
05025,2018,1,0,0.0,0.0,0.0,,
05025,2019,3,0,0.33333333333333337,0.0,0.3333333333333333,,
05025,2020,2,0,0.5,0.0,0.0,,
05025,2021,5,0,1.0,0.2,0.25,,
05025,2022,7,2,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0
05025,2023,3,0,1.0,0.0,0.5,,
05027,2008,5,1,0.4,0.0,0.8,0.0,1.0
05027,2009,4,1,0.75,0.0,0.5,1.0,0.0
05027,2010,7,1,0.0,0.0,1.0,0.0,1.0
05027,2011,14,3,0.7142857142857143,0.2857142857142857,0.9,0.33333333333333337,1.0
05027,2012,8,4,0.5,0.375,1.0,0.25,1.0
05027,2013,6,3,0.33333333333333337,0.16666666666666666,0.8,0.33333333333333337,0.6666666666666666
05027,2014,6,1,0.5,0.5,0.0,0.0,0.0
05027,2015,1,1,0.0,0.0,0.0,0.0,0.0
05027,2016,6,1,0.5,0.3333333333333333,0.25,0.0,0.0
05027,2017,6,3,0.5,0.5,0.0,0.33333333333333337,0.0
05027,2018,2,0,0.5,0.0,0.0,,
05027,2019,4,2,0.25,0.0,0.0,0.5,0.0
05027,2020,8,1,0.5,0.125,0.14285714285714285,0.0,0.0
05027,2021,7,4,0.1428571428571429,0.0,0.14285714285714285,0.25,0.25
05027,2022,13,2,0.6923076923076923,0.07692307692307693,0.3333333333333333,0.5,0.5
05027,2023,2,1,0.0,0.0,0.0,0.0,0.0
05029,2008,9,0,0.6666666666666667,0.2222222222222222,0.5714285714285714,,
05029,2009,5,2,0.4,0.2,0.25,0.0,0.0
05029,2010,13,3,0.5384615384615384,0.07692307692307693,0.5,0.6666666666666667,0.6666666666666666
05029,2011,5,1,0.6,0.0,0.6,0.0,0.0
05029,2012,16,3,0.5,0.0625,0.4,0.6666666666666667,0.6666666666666666
05029,2013,14,3,0.3571428571428571,0.14285714285714285,0.08333333333333333,0.0,0.0
05029,2014,8,1,0.375,0.0,0.25,0.0,0.0
05029,2015,10,0,0.6666666666666667,0.3333333333333333,0.3333333333333333,,
05029,2016,7,2,0.5714285714285714,0.14285714285714285,0.3333333333333333,0.5,0.5
05029,2017,5,1,0.4,0.2,0.25,1.0,1.0
05029,2018,10,3,0.5,0.3,0.14285714285714285,0.33333333333333337,0.3333333333333333
05029,2019,7,1,0.5714285714285714,0.0,0.2857142857142857,1.0,1.0
05029,2020,9,3,0.6666666666666667,0.0,0.5555555555555556,0.33333333333333337,0.0
05029,2021,9,1,0.6666666666666667,0.1111111111111111,0.5,1.0,1.0
05029,2022,6,1,0.8,0.2,0.5,0.0,0.0
05029,2023,5,1,0.6,0.0,0.4,0.0,0.0
05031,2008,27,6,0.18518518518518523,0.037037037037037035,0.8461538461538461,0.16666666666666663,0.8333333333333334
05031,2009,32,2,0.59375,0.09375,0.5862068965517241,0.0,1.0
05031,2010,24,2,0.33333333333333337,0.041666666666666664,0.782608695652174,0.5,1.0
05031,2011,29,5,0.2857142857142857,0.03571428571428571,0.7777777777777778,0.19999999999999996,0.8
