outcome,spec,b,se,p,p_boot,n,nclust
fatal_crashes,verbatim,18.11737479219148,3.879287108393801,.0034304164952543,.03125,105,7
fatal_crashes,cty_trends,20.48051457624568,2.307946442304605,.000113978482008,0,105,7
alcohol_fatal_crashes,verbatim,10.65840605712152,2.855642162238311,.0097090969995272,.09375,105,7
alcohol_fatal_crashes,cty_trends,12.43001551683343,2.289995534177951,.001620595972285,.03125,105,7
nonalc_fatal_crashes,verbatim,7.458968735069972,3.375959108833648,.0691969230063561,.140625,105,7
nonalc_fatal_crashes,cty_trends,8.050499059412262,3.294702891427558,.0502344830341735,.015625,105,7
